Cluster Index	Z	x	y	z	
12	9.01	36	-2	64
12	8.53	2	2	58
12	8.17	46	-56	4
12	8.08	52	8	32
12	7.97	-2	-12	58
12	7.76	50	-6	56
11	10.6	-28	-96	-2
11	10.3	-42	-76	0
11	9.55	-46	-76	-10
11	9.05	-46	-64	-10
11	8.8	-46	-72	-12
11	8.59	-42	-84	-2
10	10.3	46	-72	-10
10	8.79	38	-62	-14
10	8.4	32	-88	-10
10	8.27	28	-92	-8
10	7.54	34	-78	-18
10	7.41	38	-80	-16
9	6.86	-14	-6	12
9	6.21	-10	-14	0
9	6.12	-36	-4	12
9	5.91	-30	-16	6
9	5.41	-30	-18	-8
9	5.36	-12	2	0
8	8	34	-64	54
8	7.8	34	-58	52
8	6.35	30	-74	24
8	5.84	34	-92	10
8	5.77	20	-84	46
8	5.15	36	-88	2
7	6.91	14	-66	6
7	5.59	-10	-70	8
7	5.34	18	-80	26
7	4.71	-8	-78	0
7	4.54	24	-64	6
7	3.95	0	-66	6
6	5.89	32	-28	74
6	5.57	28	-30	60
6	5.52	26	-32	56
5	6.13	-56	-60	8
5	5.4	-50	-58	4
5	4.89	-60	-46	12
5	3.84	-64	-46	-2
5	3.8	-64	-42	2
5	3.51	-50	-46	8
4	8.85	-48	-26	20
4	6.3	-48	-32	12
3	4.58	46	38	16
3	4.57	46	44	22
3	3.98	48	36	26
3	3.68	32	46	22
3	3.52	36	46	18
2	4.78	-12	-34	-6
2	4.35	-12	-26	-14
2	3.61	-6	-24	-10
1	5.56	-44	-44	22
1	5.42	-50	-48	24
