Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	842	1.07e-13	13	7.23	-46	-40	58	-50.3	-32.9	48.2	659	-46	-42	60	265
11	635	3.4e-11	10.5	5.29	-44	-80	4	-41.1	-70	-17.4	610	-40	-60	-24	254
10	476	4.4e-09	8.36	5.34	44	-74	-12	35.9	-81.2	-10.5	437	38	-68	-18	238
9	225	3.66e-05	4.44	5.14	-24	-88	-28	-23.8	-87.8	-21.7	506	-24	-88	-28	247
8	224	3.81e-05	4.42	5.37	-60	6	10	-56.6	5.36	15.7	401	-60	6	6	236
7	163	0.000541	3.27	5.08	32	-56	-18	34.4	-54.2	-19.9	493	38	-58	-22	271
6	127	0.00302	2.52	4.93	-32	-90	14	-31.4	-88.7	13.8	332	-32	-92	14	240
5	104	0.00986	2.01	4.83	20	-84	28	25.5	-77.8	25.5	290	20	-84	28	213
4	100	0.0122	1.91	5.06	30	-60	58	31	-58.2	57.6	461	32	-60	58	269
3	96	0.0152	1.82	4.91	-6	-8	54	-1.6	-7.92	54	386	-2	-8	54	263
2	95	0.016	1.8	4.78	-44	-60	6	-44.9	-65.7	1.95	292	-44	-60	6	192
1	91	0.0199	1.7	4.63	-34	-6	64	-31.5	-5.96	64.8	381	-32	-6	64	254
