Cluster Index	Z	x	y	z	
15	5.74	10	-16	4
15	5.62	-20	8	-12
15	5.56	-10	10	-2
15	5.53	32	18	-10
15	5.52	-6	-24	-2
15	5.48	-20	4	-14
14	7.16	44	-82	-2
14	6.38	48	-74	4
14	6.31	34	-90	4
14	6.24	46	-62	-6
14	6.07	30	-46	-20
14	6.07	28	-88	8
13	6.63	-44	-72	2
13	6.44	-40	-54	-10
13	6.09	-44	-66	-2
13	5.88	-28	-68	-8
13	5.8	-18	-102	0
13	5.79	-44	-62	-18
12	5.78	-26	-6	46
12	5.64	-28	-4	50
12	5.37	-32	-10	44
12	4.96	-42	-16	56
12	4.71	-46	6	36
12	4.66	-50	8	38
11	5.5	8	30	28
11	5.34	2	18	58
11	4.92	2	30	38
11	4.91	6	30	34
11	4.85	10	34	16
11	4.84	6	20	40
10	6.37	-28	-54	48
10	4.45	-40	-32	38
10	4.31	-40	-46	48
10	4.21	-40	-42	40
10	3.98	-40	-54	56
10	3.97	-14	-72	52
9	6.05	48	16	34
9	5.56	40	14	32
9	5.48	34	8	28
9	5.39	46	8	30
9	5.12	44	-2	18
9	3.85	58	6	20
8	5.37	6	-38	22
8	4.63	6	-34	48
8	4.56	-4	-30	24
8	4.22	2	-20	28
8	3.93	6	-36	38
8	3.64	4	-14	28
7	4.89	30	-4	48
7	4.63	44	6	58
7	4.53	28	0	54
7	4.23	26	4	42
7	4.15	24	6	50
7	3.95	30	0	42
6	5.44	48	-34	52
6	4.19	50	-44	48
5	4.53	-56	-40	50
5	4.15	-62	-24	42
5	4.06	-58	-26	32
5	3.76	-62	-22	34
5	3.67	-56	-30	46
4	4.68	-24	-68	30
4	3.11	-24	-76	42
3	4.29	24	-60	6
3	3.6	8	-74	8
3	3.56	22	-52	8
3	3.51	10	-80	10
2	4.04	6	-54	-36
2	3.91	0	-64	-30
2	3.57	0	-54	-26
2	3.34	-2	-58	-42
2	3.33	2	-48	-20
1	4.19	30	50	14
1	3.61	26	44	22
