Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
8	475	4.54e-09	8.34	5.46	-40	-80	0	-50.9	-69.6	-11.4	420	-52	-76	-16	223
7	292	2.62e-06	5.58	6.63	46	-64	-18	45.7	-61.3	-19	391	46	-64	-18	226
6	225	3.66e-05	4.44	5.24	-24	-88	-18	-28.9	-80.8	-22.1	426	-42	-78	-24	247
5	132	0.00236	2.63	6.01	36	-80	-26	36.1	-80.2	-24.5	486	38	-84	-26	263
4	110	0.00719	2.14	5.87	-50	-6	4	-50.8	-3.04	3.22	358	-54	2	2	229
3	89	0.0223	1.65	5.22	-56	-28	14	-55.3	-26	16.9	395	-54	-26	14	235
2	81	0.035	1.46	5.07	10	4	44	8.99	4.06	42.9	315	10	4	44	218
1	78	0.0415	1.38	5.96	-52	-2	18	-52.8	-1.62	19.7	383	-52	-2	18	227
