Cluster Index	Z	x	y	z	
17	7.31	-22	-94	8
17	6.86	-38	-88	-2
17	6.81	-24	-88	24
17	6.7	-28	-76	22
17	6.7	-44	-64	-2
17	6.39	-48	-68	-8
16	6.73	2	-4	56
16	6.41	4	8	46
16	6.36	4	12	46
16	6.32	8	-4	68
16	6.15	-2	-8	70
16	5.9	0	-6	64
15	7.33	34	-84	22
15	7.05	32	-88	24
15	7.01	38	-44	36
15	5.85	28	-62	48
15	5.73	32	-56	44
15	5.73	38	-68	42
14	7.74	38	26	-2
14	6.58	50	18	-10
14	6.28	36	20	2
14	6.04	56	12	-8
14	5.54	52	20	2
14	5.24	44	16	0
13	7.01	58	12	26
13	6.68	58	24	24
13	5.71	48	12	28
13	5.57	52	24	20
13	4.88	58	16	40
13	4.83	48	8	20
12	7.18	-36	18	4
12	6.16	-30	26	-2
12	5.1	-34	24	-10
12	4.98	-42	6	-4
12	4.71	-38	8	0
12	4.23	-48	14	-8
11	5.94	-58	-24	30
11	5.17	-58	-32	20
11	4.45	-52	-28	18
11	4.35	-46	-36	22
11	3.85	-48	-26	36
11	3.78	-66	-38	18
10	6.11	52	-42	20
10	5.28	66	-36	22
10	4.41	68	-40	4
10	4.28	64	-36	6
9	4.78	-36	-62	54
9	4.59	-24	-70	48
9	4.51	-28	-72	40
9	4.35	-36	-56	54
8	6.04	-38	-38	48
8	5.5	-44	-42	46
8	5.39	-40	-34	36
7	4.77	20	-52	-28
7	4.62	36	-46	-32
7	4.18	34	-44	-38
7	4.08	24	-46	-32
7	3.3	36	-48	-24
6	7.28	-58	2	38
5	5.57	-26	-6	54
4	4.72	-40	-24	64
4	4.27	-38	-20	58
4	3.49	-42	-16	64
3	5.41	56	-68	6
3	4.07	46	-64	4
3	3.92	42	-66	-4
2	4.6	26	-58	-54
2	4.58	24	-66	-50
2	4.05	20	-70	-52
1	5	46	-2	46
1	4.22	36	-8	54
1	3.63	40	-6	64
