Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	940	8.33e-15	14.1	7.34	-38	-28	66	-34.2	-20.4	62.2	717	-28	-20	72	301
12	796	3.69e-13	12.4	6.3	46	-70	-4	39.4	-74.6	-6.35	536	28	-78	-14	242
11	586	1.45e-10	9.84	6.34	-52	-74	-2	-38.9	-81	-4.06	497	-52	-74	-2	242
10	481	3.75e-09	8.43	5.55	24	-42	-22	31.7	-47.9	-24.6	479	36	-50	-24	240
9	287	3.16e-06	5.5	5.04	-2	-4	56	2.37	-1.82	59.9	720	12	10	70	311
8	217	5.1e-05	4.29	6.78	-50	-44	2	-47.9	-47.9	7.25	429	-50	-44	2	207
7	166	0.000471	3.33	4.9	6	-22	24	5.54	-25.1	26.4	367	8	-22	24	232
6	127	0.00302	2.52	5.41	32	-52	48	31.5	-51.3	45.2	351	34	-54	48	217
5	99	0.0129	1.89	4.71	-24	-64	36	-23.5	-67.5	34.3	293	-24	-64	36	203
4	93	0.0179	1.75	5.04	-18	-62	68	-20.2	-61.2	64.7	486	-26	-62	60	345
3	91	0.0199	1.7	4.39	4	20	34	5.29	14.6	37.3	344	2	18	34	241
2	78	0.0415	1.38	4.83	-6	-18	10	-9.7	-18.4	7.37	334	-6	-18	10	220
1	76	0.0466	1.33	4.56	40	-70	26	38.6	-69.8	24.7	347	40	-72	26	229
