Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	12469	0	86.3	11	-46	-82	-2	-4.52	-70.1	12.2	744	-46	-82	-2	229
15	1167	3.07e-17	16.5	6.54	-30	24	0	-33.1	8.02	-3.46	463	-50	12	-12	208
14	687	7.6e-12	11.1	6.1	-6	8	48	0.335	9.16	40.6	437	0	12	36	223
13	432	1.85e-08	7.73	6.57	-50	-52	12	-54.4	-48.3	19.7	472	-58	-44	30	231
12	425	2.34e-08	7.63	6.69	-62	-20	20	-58.7	-24.4	16.1	572	-52	-30	12	246
11	389	5.96e-08	7.22	5.91	44	6	32	43	7.21	40.8	467	34	8	60	250
10	361	2.38e-07	6.62	6.31	26	6	-4	23.8	2.94	-4.95	321	20	6	-12	188
9	336	5.36e-07	6.27	6.64	-10	-22	0	-14.7	-21.8	1.81	315	-10	-22	0	172
8	300	1.91e-06	5.72	5.32	-38	0	24	-48.3	2.4	19.8	452	-52	6	18	214
7	237	2.24e-05	4.65	5.05	-32	56	22	-27.4	52.6	22.6	387	-28	56	22	204
6	176	0.0003	3.52	5.61	38	18	0	35.7	22.6	-1.54	329	36	18	0	190
5	172	0.000359	3.44	4.4	62	-34	36	58.1	-34.4	31.2	435	62	-34	36	216
4	137	0.00185	2.73	7.29	-4	-4	74	-4.49	-4.9	73	831	-4	-4	74	348
3	128	0.00288	2.54	5.67	54	-44	14	52.6	-44.5	11.6	332	56	-46	14	201
2	94	0.0169	1.77	3.84	12	-72	-44	3.43	-72.3	-39.7	207	6	-72	-44	160
1	75	0.0494	1.31	4.77	-2	-12	52	-2.32	-11.3	51.8	304	-2	-10	52	208
