Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
15	22470	0	129	8.94	-32	-88	-10	2.56	-68.2	-9.79	1.22e+03	24	-92	-16	271
14	7109	0	58.8	6.04	8	-2	6	4.62	-4.45	3.04	920	18	2	-18	246
13	2494	3.46e-29	28.5	7.76	-34	-18	66	-19.4	-17.8	58.1	774	-12	-18	82	262
12	600	9.54e-11	10	6.21	-30	-50	40	-32.7	-55	44	472	-30	-76	48	261
11	421	2.67e-08	7.57	5.81	-54	8	-4	-49.6	12.1	-0.916	467	-56	10	-4	229
10	392	5.96e-08	7.22	7.07	56	-24	50	50.8	-27	49.9	457	56	-22	52	232
9	383	1.19e-07	6.92	4.71	32	52	4	30.1	58.3	5.3	613	20	70	0	264
8	354	2.98e-07	6.53	5.68	-2	-46	20	-0.394	-40	17.9	581	-4	-42	0	290
7	233	2.63e-05	4.58	5.4	4	26	34	2.61	25.4	30.7	374	4	24	34	235
6	134	0.00214	2.67	5.47	28	-24	68	31.4	-20.7	68.4	448	34	-20	68	287
5	113	0.00615	2.21	5.04	2	18	66	2.31	21.3	64	578	2	22	64	429
4	104	0.00986	2.01	5.01	-36	54	12	-35.1	48	13.3	326	-36	54	12	204
3	100	0.0122	1.91	4.6	-44	8	30	-44.4	8.77	30.1	321	-44	8	30	221
2	90	0.0211	1.68	4.24	40	-8	48	36.4	-8.49	46.6	221	40	-8	48	167
1	80	0.037	1.43	5.2	-48	-16	50	-49.8	-16.3	49.5	450	-48	-16	50	268
