Cluster Index	Z	x	y	z	
7	6.83	-32	-12	68
7	6.26	-38	-18	50
7	5.48	-36	-22	42
7	5.3	-50	-32	58
7	5.12	-52	-24	20
7	5.05	-26	-22	50
6	6.7	-40	-88	8
6	6.7	-42	-88	4
6	6.54	-18	-84	-12
6	6.47	-50	-74	2
6	6.27	-52	-70	-4
6	5.39	-38	-88	-6
5	7.08	42	-90	8
5	5.75	46	-88	-2
5	5.7	42	-78	-18
5	5.38	46	-68	-6
5	5.16	50	-78	-4
5	5.11	48	-84	2
4	5.51	24	-60	40
4	5.5	22	-68	60
4	5.14	24	-64	44
4	4.85	8	-66	50
4	4.57	26	-54	38
4	4.42	10	-68	54
3	4.18	30	-60	-20
3	4.11	30	-56	-22
3	4.09	26	-58	-18
2	4.72	-40	-64	-12
2	4.23	-32	-60	-16
1	4.22	-18	-64	58
1	4.19	-22	-68	60
1	3.99	-26	-60	50
1	3.65	-18	-68	56
