Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
15	4245	5.5e-42	41.3	5.74	10	-16	4	2.87	-0.909	-1.25	515	2	-14	8	203
14	3747	1.45e-38	37.8	7.16	44	-82	-2	36.5	-66.5	8.6	474	62	-44	8	211
13	1764	5.48e-23	22.3	6.63	-44	-72	2	-36.2	-74.8	-3.04	389	-44	-72	2	212
12	1075	2.83e-16	15.5	5.78	-26	-6	46	-35.3	-12.6	51.1	440	-16	-24	78	207
11	833	1.37e-13	12.9	5.5	8	30	28	3.49	21.9	41.1	358	0	26	32	210
10	829	1.52e-13	12.8	6.37	-28	-54	48	-30.2	-52.2	45.4	466	-40	-56	56	209
9	679	9.54e-12	11	6.05	48	16	34	43.3	8.71	28.6	468	50	16	36	239
8	580	1.74e-10	9.76	5.37	6	-38	22	3.14	-31.4	29.9	422	2	-34	24	227
7	299	2.03e-06	5.69	4.89	30	-4	48	30.6	0.961	49.7	377	44	8	56	180
6	276	4.77e-06	5.32	5.44	48	-34	52	47.9	-36.8	49.2	346	48	-32	56	211
5	165	0.000493	3.31	4.53	-56	-40	50	-57	-30.1	41.7	274	-62	-24	38	189
4	118	0.00476	2.32	4.68	-24	-68	30	-24.3	-70.2	29.5	248	-24	-68	30	187
3	102	0.011	1.96	4.29	24	-60	6	15.9	-66.1	6.79	400	24	-60	6	261
2	80	0.037	1.43	4.04	6	-54	-36	1.86	-56.8	-31.6	197	6	-54	-34	145
1	80	0.037	1.43	4.19	30	50	14	29	48.8	14.3	247	32	50	18	193
