Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	1577	2.87e-21	20.5	7.4	26	-92	-2	26.8	-70.9	-13.1	467	40	-80	-18	228
17	524	9.64e-10	9.02	6.04	-32	-50	-20	-31.2	-52.4	-19.7	413	-26	-62	-14	224
16	420	2.76e-08	7.56	5.31	10	-76	20	1.87	-70.5	13.4	513	4	-72	20	283
15	413	5.96e-08	7.22	6.01	-24	-98	2	-21.2	-92.3	0.908	512	-24	-98	2	240
14	391	5.96e-08	7.22	5.4	6	6	48	0.973	6.4	45.8	600	0	0	50	267
13	342	4.17e-07	6.38	5.82	-36	-88	-12	-32.8	-82.8	-15.5	372	-38	-88	-12	229
12	339	4.77e-07	6.32	4.74	-10	-20	6	-9.66	-20.8	-3.77	307	-10	-20	6	194
11	285	3.4e-06	5.47	5.08	56	6	40	46.3	2.66	44.8	480	44	-2	54	261
10	177	0.000287	3.54	5.37	12	-18	8	10.6	-16.4	9.38	346	12	-16	8	225
9	138	0.00176	2.75	4.28	22	6	-2	25.9	11.4	-1.43	242	30	24	0	193
8	131	0.00248	2.61	4.28	-50	-24	56	-46.5	-26.5	52.9	427	-48	-30	60	250
7	100	0.0122	1.91	4.31	32	-60	58	30.6	-60.7	55.4	470	32	-60	60	274
6	98	0.0136	1.87	4.6	-22	2	0	-21.6	2.32	-0.594	282	-24	2	-4	211
5	96	0.0152	1.82	4.43	-34	-20	56	-36	-18.5	62	400	-38	-18	68	246
4	87	0.0249	1.6	4.62	-6	-80	2	-2.81	-78.6	0.463	404	-2	-72	-2	278
3	85	0.0279	1.55	4.56	-36	-4	48	-36.5	-2.88	50.9	351	-40	-2	56	233
2	83	0.0312	1.51	5.54	32	-80	22	31.3	-80.8	21.5	366	32	-80	22	232
1	75	0.0494	1.31	4.46	26	-70	38	28.7	-67.5	38.4	257	26	-70	38	206
