Cluster Index	Z	x	y	z	
6	4.09	24	-66	48
6	4.05	32	-60	44
6	3.93	36	-58	50
6	3.87	30	-70	46
6	3.77	14	-70	50
6	3.72	28	-62	38
5	4.42	-42	-88	-6
5	4.26	-44	-72	-4
5	4.22	-46	-72	-12
5	3.56	-44	-64	-2
5	3.32	-46	-80	-10
5	3.18	-42	-66	-10
4	3.98	52	-68	-4
4	3.81	46	-78	-8
4	3.8	52	-62	-16
4	3.76	48	-68	-14
4	3.75	42	-62	-8
4	3.74	54	-62	-20
3	4.07	44	4	22
3	3.91	42	16	28
3	3.86	48	12	30
2	3.85	4	16	46
2	3.8	4	6	54
1	3.95	32	22	-6
1	3.55	38	24	-2
